Concept,Feature,Present_in_WN
zebra,eaten,no
zebra,hooves,no
zebra,grass,no
zebra,striped,yes
zebra,prey,no
zebra,horse,no
zebra,legs,no
zebra,pretty_attractive_beautiful,no
zebra,move,no
zebra,Africa,no
zebra,fast,no
zebra,mane,no
zebra,herbivorous,no
zebra,mammal,no
zebra,hunted_is,no
zebra,grassland,no
zebra,run,no
zebra,shy_timid,no
zebra,eat,no
zebra,white,no
zebra,eaten_edible,no
zebra,zoos,no
zebra,black,no
zebra,stripes,no
zebra,fur_hair,no
zebra,ears,no
zebra,safari,no
zebra,wild,no
zebra,tail,no
zebra,found,no
zebra,four,no
zebra,live,no
zebra,hide,no
zebra,lions,no
zebra,camouflaged,no
zebra,animal,yes
zebra,herds,no
zebra,like,no
